Molecule,Grid_Resolution,Cavity_Volume
2,0.1,116.44426568242167
3,0.1,81.46876176438906
4,0.1,138.29822271480273
5,0.1,61.62286670380206
6,0.1,117.74454796667607
7,0.1,120.91872669588457
8,0.1,121.17318531842136
9,0.1,97.57717014438052
10,0.1,88.25843034704891
11,0.1,63.64243881183776
12,0.1,117.96011817702362
13,0.1,59.603455625203594
14,0.1,127.04238971398124
15,0.1,81.54521081635126
