Molecule,Cavity_Volume
1,33.835265782231446
2,80.52851751865678
3,31.329235695210734
4,12.493602095876618
5,43.61497451983909
6,18.89134292909575
7,18.42805413105313
8,64.62046307852275
9,28.428356932968427
10,32.106540278586166
11,38.40207322030684
12,25.64922610750473
13,87.96845039970428
14,28.540822113647636
